품명,가격,embedding
삼성전자 삼성 DM530ADA-L78A,"1,348,000원","[0.37922522, 0.44932583, 0.28506005, -0.27723992, -0.47229114, -0.12344324, 0.36921585, -0.62355393, -0.3408564, 0.106460564, -0.08112419, 0.16720772, 0.07642865, 0.28956315, -0.15116902, 0.6345185, 0.05369349, 0.19432266, -0.16290584, -1.1240395, 0.020958832, -0.06360965, 0.049298886, 0.5094131, 0.40803713, 0.43142447, 0.017942172, -0.30161718, 0.22718495, -0.481988, -0.086389944, -0.27772117, 0.5110276, -0.45361274, 0.22369528, -0.51401716, -0.53596705, 0.14737329, -0.5387615, -0.9106812, -0.03444729, 0.22689448, -0.18109019, 0.50203884, 0.8439954, -0.2436835, 0.6265945, 0.027273266, 0.14471853, -0.16977395, -0.25769436, 0.0074367146, 0.3269796, -0.37974957, -0.6810609, -0.028183706, 0.08888884, 0.37682152, 0.07215154, 0.35732493, -0.27199295, -0.019532796, 0.34636223, 0.0071165334, 0.05442135, -0.06106197, 0.39394087, -0.1468768, -0.60758317, -0.0975883, 0.057337377, -0.4711294, -0.0409781, -0.18367846, 0.17131323, 0.5160375, -0.32644078, -0.5605196, -0.11576361, 0.5426935, -0.4031834, -0.8814834, -0.82050824, -0.2765227, 0.4390425, -0.7881599, -1.018841, 0.12946264, -0.55496126, 0.3974668, -0.45323852, 0.1750858, 0.26507124, -0.40444997, -0.10819374, 0.36403036, 0.7945941, 0.32647973, 0.4301758, -0.122400746, -0.25404525, -0.2603294, -0.1483224, 0.6127306, 0.4702582, 0.085190974, -0.1684865, 0.09329624, 0.6213923, -0.52672154, -0.4545887, -0.8885693, 1.0868862, -0.38213027, -0.054133214, -0.08878541, 0.23761381, -0.47356954, -0.062349953, -0.13679549, 0.16068666, -0.4053853, 0.0804057, -0.34296674, 0.05732057, 0.06482023, 0.18252714, -0.25082877, -0.35165212, -0.10874759, -0.37738657, 0.1382188, -0.44345, -0.40758097, -0.37535393, -0.3136253, 0.8991269, -0.65834796, 0.52585477, 0.06589107, -0.3865941, -0.0045193625, -0.20858952, -0.09791493, 0.50189286, -0.5861743, 0.4550551, 0.22291228, -0.011394728, -0.69536525, 0.14932734, 0.3157196, 0.04597811, -0.39289445, -0.73192686, 0.23936178, -0.2594429, 0.3107579, -0.29920763, 0.13679367, 0.7971496, 0.09233605, -0.923692, -0.6568744, -0.38360846, -0.010359764, 0.64897984, -0.22383277, 0.53986275, 0.34273815, -0.47221154, 0.2129328, 0.12478475, -0.2843464, 0.14632082, 0.8756169, -0.57659423, -0.016127856, -0.840005, -0.22544844, -0.12539351, 0.14025663, 0.39518282, 0.22358385, 0.08937308, -0.1916112, -0.030578725, -0.15388158, -0.43100187, -0.2255709, 0.6351224, -0.21224119, -0.2414781, -0.6130999, -0.13392824, 0.36918098, -0.23475347, -0.054637555, -0.5976595, -0.039499395, -0.123388246, -0.14763528, -0.056202598, -0.112629026, 1.2109059, -0.18848716, 0.21035345, -0.8110996, 0.14631405, 0.17044012, 0.47212124, 0.15918936, 0.5066404, -0.46857607, 0.3820247, 0.12105136, -0.48947102, 0.0054352954, 0.36900297, 0.23966593, 0.8818939, -0.7004417, 0.25746182, -1.1007454, -0.18055995, 0.2595379, -0.13741006, -0.1993067, -0.390443, 0.091849215, -0.48420388, 0.12320538, -0.231367, 0.41466698, 0.5862204, 0.3233145, 0.19454993, 0.0077568092, 0.5605415, -0.6953218, 0.18901981, 0.7500403, -0.09462226, 0.11161149, 0.28987053, 0.09812334, 0.73700744, -0.82781434, -0.020680735, 0.2027227, 0.12311358, 0.051779464, 0.2023906, -0.0044134283, -0.276523, -0.40144068, 0.92807966, 0.057787877, -0.22298823, -0.65592897, 0.30923066, -1.0224807, -0.004902659, -0.41398588, 0.20753843, -0.20455648, -0.2330861, -0.85706055, 0.3135343, -0.0042946716, -0.70253533, 0.3176357, 0.2265896, 0.12619843, 0.21914937, 0.36411116, -0.17400214, 0.1335021, 0.34173024, -0.085688606, -0.6113411, -0.4697615, -0.36951143, 0.7194734, 0.26985595, 0.08903023, -0.32417086, 0.29161167, -0.3444137, -0.09479335, -0.19296914, 0.2760096, 0.05579508, -1.6059316, -0.31170493, 0.38051584, 0.8747867, -0.52672917, -0.6139267, -0.19525722, 0.4765383, 0.26703784, -0.34508273, 0.07371704, -0.29855472, -0.22776344, 0.42354771, 0.4129451, -0.064638786, 0.07456775, 0.3613438, 0.21327026, 0.29757044, -0.28967986, 0.5049198, -0.88345057, -0.171645, 0.10345128, -0.106999435, -0.31960583, 0.66298735, -0.09336834, -0.5365942, 0.005364535, -0.84181416, -0.67196375, 0.08062183, -0.4501887, -0.18936087, 0.35999614, -0.03667739, -1.163863, 0.31035993, -0.0103706615, 0.11231684, -0.3848341, 0.21297537, -0.27676275, -0.049194716, 0.3294966, 0.26080877, 0.4119425, -0.13251063, 0.19508559, 0.06547736, 0.96697706, 0.023565747, -0.49236944, -0.036733963, -0.3335735, 0.31132922, -0.30118883, -0.17956337, -0.99225295, 0.5094039, -0.3796756, -0.16983978, 0.796236, 0.0534157, 0.25131494, -0.008320869, -0.3425686, 0.055110216, 0.9625689, -0.5749172, 0.75452626, -0.22993499, 0.6097204, 0.2210052, -0.018308362, -0.19202751, -0.5400585, -0.841845, 0.025650542, 0.5512617, -0.15747915, 0.1743047, 0.061365016, -0.29093543, -0.10195068, -0.09007121, 1.1148198, -0.49871647, -0.011337461, 0.21054776, -0.4070673, -0.2577381, 0.12297038, -0.22133659, 0.34972584, 0.13414435, -0.05508783, 0.27953503, -0.018706374, -0.3416312, 0.08478952, -0.5967131, 0.56379044, -0.031736046, -0.4853391, 0.25614598, -0.0023150146, 0.0019279626, 0.6007909, 0.047223605, -0.6654347, -0.23606206, 0.35126874, -0.15329157, 0.75737053, 0.09677081, -0.18303655, 0.019567175, 0.5504028, 0.05387979, -0.5009947, -0.3118505, 0.34218422, 0.08004264, 0.2545966, -0.13525376, -0.44019067, 0.57777566, -0.8330739, 0.21984111, -0.007245056, 0.2193315, -0.44164717, 0.025487991, -0.1359738, -0.40736654, -0.12952507, 0.40984625, 0.6628703, -0.5012745, -0.41866472, -0.009152995, -0.33098173, -0.49149582, 0.15207066, 0.09298437, -0.26180965, 0.14568518, -0.22667845, -0.24220563, -0.2629754, -0.76970166, -0.09791855, -0.49942997, -0.044989143, -0.095388785, -0.71985215, 0.8465004, -0.09940341, -0.14068195, 0.44445992, -0.06932786, -0.17189664, -0.27421826, 0.38377857, 0.08779319, -0.22831395, -0.6712086, 0.0035783695, 0.73228985, -1.1410056, -0.5380312, 0.24040222, -0.5083211, -0.0013647103, -0.3235606, -0.32880968, 0.6041813, -0.08823815, -0.0052760425, 0.16223152, -0.61112744, -0.26292497, -0.1883714, -0.6501618, 0.101249486, 0.252255, -0.019937625, -0.36541378, 0.08543445, 0.5168754, -0.17825285, -0.07114796, 0.1857841, -0.5026175, 0.31890315, 0.037395753, 0.06813804, 0.20404133, 0.030608613, 0.250336, 0.68626046, 0.14498647, 0.08613059, -0.40220478, -0.03161579, -0.10022965, -0.20259565, -0.3781954, -0.3024384, 0.38153103, 0.23605815, 0.032846354, 0.23344961, 0.45648542, -0.688847, -0.102734126, 0.08355827, 0.2170274, -0.47353184, 0.03646315, -0.323153, -0.3244294, 0.22178237, 0.27289507, 0.21355146, 0.08740739, 0.315666, 0.64722216, 0.16155641, -0.50846803, -0.5823079, -0.7977965, 0.19502258, -0.605791, -0.23330894, 0.16957071, 0.07168545, 0.32182312, -0.3926957, -0.06897617, 0.30052477, 0.18782425, 0.3174369, -0.62340695, -0.27517372, 0.13251358, 0.0056447354, 0.012078091, -0.3853772, 0.67646724, 0.022271486, 0.7074426, 0.030029861, 0.03971111, -0.70607924, -0.33638006, -0.276282, 0.3086537, -0.5388497, -0.15128542, -0.27401793, -0.63820165, 0.04683113, 0.49095803, -0.32216355, -0.25451967, 0.06532758, -0.10530023, 0.13427614, 0.15684718, -0.080373816, 0.21881233, 0.19008046, 0.5175028, -0.1757696, -0.5107675, 0.3930341, 0.0821763, -0.17508714, -0.8845693, -0.46338636, 0.59436065, 0.9854949, -0.6651898, -0.32501858, 0.900923, 0.17059733, 0.4783022, 0.6856495, -0.07205632, 0.43214938, 0.20072702, 0.001196522, 0.037654556, 0.2542616, 0.26185015, 0.46259433, -0.2821284, -0.6408001, -0.4888957, -0.1947704, 0.14001364, 0.03447146, -0.1666579, -0.05521824, -0.6462746, 0.56950766, -0.028449532, -0.48198193, 0.12084294, 0.4359285, 0.3303213, -0.34125182, 0.69326687, -0.049986795, 0.29320294, 0.11942601, -0.84370416, -0.0520984, -0.24453577, -0.36016443, -0.053275816, -0.048150863, 0.40300047, 0.5241348, 0.011257346, -0.03868536, -0.3448736, -0.13164935, -0.22124313, 0.18521053, -0.36767614, -0.2653383, 0.18339157, -0.38611868, -0.39919665, 0.25916082, 0.33865422, -0.4037069, -0.23620011, -0.19895512, 0.45987603, 0.035939787, -0.22710565, -0.11113756, -0.50260913, 0.8416194, -0.21574932, 0.40827388, -0.7251755, -0.56051946, -0.028593563, -0.47410843, -0.07952018, -0.09872849, 0.21558635, -0.01199698, -0.2246387, 0.25078028, -0.08131985, 0.019931557, 0.14644937, 0.023220532, -0.46924007, 0.25376436, 0.08266267, -0.30245405, -0.3843024, -0.05565203, -0.486175, -0.49416083, 0.5343885, 0.03701831, 0.1375008, 0.38694498, -1.6822356, 0.4652553, -0.054456253, -0.67338586, 0.33822638, 1.1189753, -0.022027591, -0.83742076, -0.1112821, 0.7158346, 0.34818217, 0.2338005, -0.16631581, 0.55743545, 0.98716646, 0.11552858, 0.03533558, 0.17893273, 0.1984329, 0.21201912, -0.8404417, -0.123405814, 0.05253709, 0.695413, 0.18749006, 0.14993072, 0.8417752, -0.39696413, -0.6450244, 0.014854344, -0.3302118, 0.09846743, 0.040293124, -0.43866232, -0.36851978, -0.4739787, 0.16750336, 0.12461987, -0.040866412, -0.20270742, 0.22056113, -0.4506926, 0.010253991, -0.6726747, -0.10848864, -0.108513, -0.3033075, -0.13553458, 0.27520657, -0.3713123, 0.383053, -0.3930313, -0.6816089, -0.4722388, -0.55292726, 0.50259304, -0.24715845, -0.16851646, -0.42445245, -0.40803877, 0.4234797, 0.14167865, -0.30949184, 0.3922876, -0.07100337, -0.17140214, 0.65822697, -1.030552, -0.13936576, 0.00065429625, -0.5925057, 0.20806986, 0.056027636, 0.6397024, -0.2836933, 0.17572795, 0.790259, 0.095865086, 0.39444572, 0.23350722, -0.76345164, 0.78811926, 0.2693717, 0.122994885, 0.2018281, -0.15515049, -0.095016755, -0.46889833, 0.4915895, 0.33488065, 0.3317251, -0.5384328, -0.16513054, -0.47586885, 0.17754968, 0.5872279, -0.002941839]"
삼성전자 삼성 DM500TDA-A38A,"749,000원","[0.45458922, 0.26240858, -0.0683216, -0.030648809, -0.18235682, -0.41429788, 0.43279812, -0.17838669, -0.30838922, 0.27725884, -0.16969897, 0.26852676, -0.42442402, 0.35634264, -0.08083019, 0.3052312, -0.16894093, 0.5084433, -0.10512774, -1.3643633, -0.12823142, 0.05159018, 0.48235962, 0.10523354, 0.19523884, 0.31697255, -0.16420041, -0.28895038, 0.20647916, -0.021131238, 0.1437289, -0.32456037, 0.14115037, -0.6949614, 0.15225619, -0.44621986, -0.40307474, -0.028798405, -0.5641907, -0.8049961, 0.20744374, -0.0033959907, 0.28328878, 0.33577797, 0.80241925, -0.23446877, 0.27342966, 0.22035934, 0.38018972, -0.2309929, -0.21075338, 0.10164176, -0.027516617, -0.39873606, -0.78129107, -0.038756564, -0.25902757, 0.05393247, 0.017019179, 0.329551, -0.34050483, -0.10042547, 0.30295384, -0.09532347, -0.2708974, 0.2242358, 0.38910154, -0.40871876, -0.4501357, -0.32109028, -0.015850319, 0.059360124, 0.017956357, -0.26644933, 0.20239401, 0.21341357, -0.5041192, -0.5755629, -0.27484795, 0.2054058, -0.040913526, -0.8783635, -0.47009075, -0.5767241, 0.08445963, -0.85348594, -0.37125894, 0.30837277, -0.8711573, 0.05995465, -0.5761382, 0.33745465, 0.4812624, -0.43314072, 0.18048732, 0.31588444, 0.8045524, 0.24473837, 0.507375, -0.14280094, 0.106885105, 0.17419562, -0.75592935, 0.39692894, 0.7513101, -0.03582473, -0.37248862, -0.074809, 0.8281304, -0.5651126, -0.32132927, -0.7093983, 0.78796303, -0.48787066, -0.05215557, -0.13331427, 0.25029355, -0.25622588, -0.22175135, -0.20011538, -0.013791379, -0.599918, -0.19219661, -0.30895516, -0.1121736, -0.1768687, 0.24847306, 0.52710307, -0.33980042, -0.0047523654, -0.24261001, -0.1227268, -0.18775848, -0.25887802, -0.4300644, -0.5986421, 0.87648875, -0.5210419, 0.5816163, 0.27750584, 0.044627573, 0.28477353, -0.50590694, 0.014001067, 0.41806716, -0.66657287, 0.57105553, 0.4612556, 0.10199732, -0.70027435, 0.14901529, 0.085244976, 0.18004452, -0.08833117, -0.45337072, -0.08592869, -0.7065359, 0.25692242, -0.3903847, 0.23565865, 1.0249782, 0.018857764, -0.7310841, -0.3424005, -0.31924772, 0.34699357, 0.59535116, 0.05871679, 0.16740993, 0.2416741, -0.28627986, 0.29765406, -0.14602408, -0.14364666, 0.008803487, 0.99044126, -0.2897092, -0.14659344, -0.47417432, -0.24865958, -0.11108406, 0.4210727, 0.19977395, 0.18012556, -0.30022904, -0.11444128, 0.12173964, 0.03352273, -0.4366028, -0.4636107, 0.67335606, -0.35610348, -0.2561398, -0.7385568, -0.20702846, 0.54614663, -0.13264342, -0.20220405, -0.5233472, 0.0891375, -0.26099327, -0.31717014, 0.31232154, -0.029152252, 0.9962443, -0.29305038, 0.13636409, -0.702453, 0.42318922, 0.013114904, 0.38537633, 0.46306494, 0.88540447, -0.43811497, 0.17288457, 0.0045994637, -0.29216766, 0.25010002, 0.29544568, 0.3948662, 0.5532475, -0.6999096, 0.4281584, -1.2578418, -0.42381433, 0.3381577, -0.16349486, 0.28262275, 0.1852215, -0.11542687, -0.61498606, -0.073767856, -0.12990552, 0.58024305, 0.6905493, 0.4012442, 0.37333676, 0.5546156, 0.28643793, -0.7987904, 0.18142083, 0.7896771, -0.1418831, -0.17589727, 0.4166985, 0.313024, 0.5855567, -1.2174689, 0.15629257, -0.06243562, 0.19666433, 0.19437593, -0.3579092, 0.017166827, -0.19580016, -0.72498035, 0.69742817, 0.47734076, -0.32108176, -0.23484863, 0.3128701, -0.8301645, -0.117742576, -0.36439434, 0.28540784, -0.4257511, 0.087496355, -0.5375515, 0.2622852, -0.0077313227, -0.96791804, 0.1385159, 0.2167444, 0.2006034, 0.11017568, 0.35157472, -0.22637923, 0.21648635, 0.13537465, -0.41881594, -0.27311027, -0.23826092, -0.1867461, 0.6733623, 0.039198518, 0.21933255, 0.011069511, 0.3034541, -0.50788677, 0.123225525, -0.31982648, 0.34961998, -0.22980969, -1.447843, -0.074089974, 0.6116076, 0.8289541, -0.2399637, -0.44630444, -0.2740221, 0.60093296, 0.3727425, -0.26976582, 0.2521899, -0.57630926, 0.0708448, 0.9386489, 0.6054499, -0.32975143, 0.367871, 0.36552805, 0.47955826, 0.28256688, -0.28075293, 0.544061, -1.073427, -0.021928022, -0.20909196, 0.035905804, 0.0637864, 0.690477, 0.16364649, -0.6598717, -0.68527836, -0.7400248, -0.4832985, 0.11906881, -0.25500584, -0.2302885, 0.5087092, -0.07117216, -0.88895744, 0.7078504, 0.008045264, 0.059872095, -0.37272692, 0.56154037, -0.19053528, -0.14776652, -0.10351898, 0.07890448, 0.6756261, -0.4474277, 0.5013133, 0.15309955, 0.9967044, -0.052350245, -0.30884424, 0.28482714, -0.5028444, -0.103436634, -0.09309097, -0.15117012, -0.67807037, 0.693184, -0.10204979, -0.0020533274, 0.3941816, -0.16766024, 0.20110004, 0.19028433, -0.5327278, 0.19418842, 0.52508277, -0.7157491, 0.9068324, -0.19027784, 0.35944986, -0.06818035, 0.31619856, -0.1549215, -0.63826793, -0.17572798, -0.29064018, 0.3838371, 0.058683593, -0.08134857, -0.05118515, -0.6175957, 0.18015388, 0.058377, 0.8910975, -0.14249131, 0.07218134, 0.09363951, -0.6692491, -0.45691696, 0.14390694, -0.21856819, 0.3006335, -0.22121494, -0.27453834, 0.16997632, -0.1759199, -0.27053437, 0.24710467, -0.59560823, 0.6105, -0.17919049, -0.5294303, 0.25822815, -0.06486493, -0.2419464, 1.0328494, -0.44472232, -0.6544491, -0.2727396, -0.017701115, -0.14204456, 0.8178914, 0.07858964, -0.08423042, -0.029743182, 0.21452768, 0.29875392, -0.30917484, -0.0012291349, 0.7365233, 0.040138014, 0.30633342, 0.119506955, -0.7533027, 0.5760286, -1.2027683, 0.5509736, -0.105374135, 0.6094152, -0.5876593, 0.08197281, -0.0072982037, -0.26730633, -0.060093965, 0.40198734, 0.7765574, -0.8471171, -0.4657346, -0.18330567, -0.272596, -0.50973004, 0.41639262, -0.13478778, -0.29198503, 0.13981242, -0.39549077, -0.48038256, -0.18904866, -0.8679219, 0.16761845, -0.42421004, 0.1318982, -0.17195652, -0.6583962, 1.073818, -0.41958597, -0.0067391703, 0.7449834, -0.05521355, -0.3766702, -0.41368917, 0.16836452, 0.21598479, -0.17929098, -0.86934704, -0.20957965, 0.61920494, -0.93964565, -0.9997549, 0.036378004, -0.45327908, 0.25094187, -0.2681672, -0.45279086, 0.9612602, -0.055967566, 0.21310061, -0.08117899, -0.6333314, -0.6256348, 0.014547215, -0.70980346, 0.13651733, 0.13683547, -0.03185358, -0.49409497, 0.23101728, 0.5419718, 0.21428254, -0.2073621, 0.02986588, -0.29183108, 0.053152494, -0.03147724, 0.10020806, -0.045019455, -0.15296471, 0.014774726, 0.49164897, 0.13751444, 0.20805016, -0.22512378, 0.013472108, -0.3168122, 0.55594647, -0.32643685, -0.07548882, 0.3731046, 0.53310215, -0.21196833, 0.2457203, -0.19568971, -0.7911148, -0.3741887, 0.42216247, 0.7423201, -0.3375626, 0.18055807, -0.20886596, -0.37215143, -0.17101185, 0.1414472, 0.0327158, 0.13551122, 0.23087454, 0.60944194, 0.39941776, -0.33037582, -0.3686366, -0.79025394, 0.11794734, -0.560669, 0.020215552, 0.2767154, 0.21855982, 0.35250717, -0.20488176, -0.20914844, 0.23446615, 0.22554629, 0.3965193, -0.38313675, -0.28801334, 0.08570444, -0.23026498, -0.2460137, -0.11941697, 0.49810937, 0.14221916, 0.7172655, 0.02185027, 0.013587856, -0.61647516, -0.5240016, -0.34880212, 0.12332476, -0.43484715, -0.28379872, -0.3077564, -0.5594084, 0.25117064, 0.09873449, -0.54437876, -0.22030438, -0.2693585, -0.3528864, -0.16127178, 0.5544689, -0.34938055, -0.0506843, 0.31316802, 0.24214068, -0.22802809, -0.223584, 0.58594364, -0.05401458, -0.51370054, -0.8730658, -0.38527536, 0.24117857, 0.4488624, -0.6794214, -0.253354, 0.38104835, 0.41128966, 0.2133845, 0.7978086, -0.328118, 0.2731706, 0.1256832, -0.21143316, -0.02049404, 0.9693349, -0.07391965, 0.71925604, 0.124192476, -0.940477, -0.2841453, 0.0049167457, -0.022818374, -0.13860618, 0.08295272, -0.06494211, -0.73203087, 0.38333213, 0.26072448, -0.4906815, 0.13106877, 0.43854904, 0.42533848, -0.07479729, 0.3547304, -0.082730934, 0.21576431, -0.05604946, -0.7699538, -0.22577588, -0.07362629, -0.31993225, 0.14944516, 0.19137318, 0.46761015, 0.59973645, -0.12687835, 0.27630377, -0.28891778, 0.263035, -0.5106138, -0.21562113, -0.34522688, -0.22228886, -0.08435165, -0.47955945, -0.20470347, -0.06231515, 0.29978326, -0.08189224, -0.31473815, -0.26845667, 0.7818854, 0.09073663, -0.43477276, 0.017602595, -0.90186584, 0.798584, -0.29290187, 0.45856765, -0.90037113, -0.24967264, -0.11787295, -0.81501186, -0.30636984, -0.10056906, -0.08779362, -0.14503118, -0.08433039, 0.37638515, 0.2293817, -0.08260058, 0.27428934, -0.25071684, -0.588251, 0.35677606, 0.10685272, -0.32276484, -0.16382085, -0.39217976, -0.3155517, -0.3990131, 0.10386443, 0.276843, -0.0972952, 0.30713183, -1.3246688, 0.36161548, 0.06385406, -0.8090271, 0.6899804, 0.7544619, -0.32995003, -0.24130194, -0.048920188, 0.29921818, 0.4600681, 0.29798806, 0.13143617, 0.7574549, 1.3893651, 0.43175527, 0.12534516, 0.1123396, 0.20139553, 0.044157203, -0.96494305, -0.48380804, 0.100235455, 0.9712697, -0.008754297, 0.1787506, 0.72065204, -0.16428491, -0.8937212, -0.5459088, -0.38069457, -0.028132636, 0.10185368, -0.89139915, -0.65192705, -0.27872103, -0.24088296, 0.33702323, -0.19237281, -0.32084468, 0.12646031, -0.122228704, 0.06186023, -0.9639684, -0.4281402, -0.25266334, 0.10474842, 0.15079436, 0.6060513, -0.37757573, 0.11337851, -0.3372623, -0.5699994, -0.65779555, -0.2847626, 0.28570706, -0.35774562, -0.34498212, -0.5673223, -0.40467772, 0.1254132, 0.21675214, -0.15882237, -0.048366666, 0.24167734, -0.020355064, 0.5958735, -0.8629186, -0.25075233, 0.020312112, -0.24429351, -0.10901664, -0.009547701, 0.7413454, 0.48259374, -0.253427, 0.77542657, 0.41534612, 0.27994534, 0.46204036, -0.75333744, 0.6011512, 0.21931124, 0.13654326, 0.07119585, 0.013500122, 0.07562353, -0.54104114, 0.06420365, 0.31625575, 0.32614854, 0.1456066, 0.25778902, -0.50312257, 0.3693275, -0.08441643, -0.11627372]"
