품명,가격,제조회사
1,"741,040원",삼성
2,"729,000원",삼성
3,"878,000원",한성
4,"592,630원",삼성
5,"1,333,660원",삼성
6,"1,136,780원",삼성
7,"493,700원",삼성
8,"588,000원",한성
9,"598,000원",삼성
