품명,가격,제조회사
삼성전자삼성DM500TDA-A38A,"741,040원",삼성
삼성전자삼성 DM500SDZ-AD5A,"729,000원",삼성
한성컴퓨터TFG MX9465S,"878,000원",한성
삼성전자삼성 DM530ADA-L15A,"592,630원",삼성
삼성전자삼성 DM530ADA-L78A,"1,333,660원",삼성
삼성전자 삼성 DM530ADA-L58A,"1,136,780원",삼성
삼성전자 삼성 DM500SDA-A25A,"493,700원",삼성
한성컴퓨터 프리워커 F2500W,"588,000원",한성
삼성 올인원 PC 컴퓨터 일체형PC 사무용 정품Win11탑재 선없는 컴퓨터 온라인강의용,"598,000원",삼성
삼성전자 삼성 DM500TDA-A58A,"889,440원",삼성
IGNIQ 리트 올인원 PC 27A,"469,000원",IGNIQ
한성컴퓨터 TFG MX9465S,"878,000원",한성
한성컴퓨터 AX12505,"599,000원",한성
삼성전자 올인원PC 일체형PC 24인치 데스크탑 컴퓨터 NVMe SSD 탑재,"598,000원",삼성
삼성 데스크탑 5 인텔 11세대 i5 CPU 사무용PC 게이밍컴퓨터,"799,000원",삼성
삼성전자 올인원PC 일체형PC i5 윈도우탑재 데스크탑 컴퓨터,"1,149,000원",삼성
한성컴퓨터 MX12505,"1,159,000원",한성
IGNIQ 리트 올인원PC 27B,"599,000원",IGNIQ
한성컴퓨터 TFG AX12506,"1,399,000원",한성
한성컴퓨터 TFG AX12708i,"2,859,000원",한성
한성컴퓨터 AX5506i,"1,668,990원",한성
LG전자 27V70N-FR50K,"1,490,000원",LG전자
IGNIQ 리트 심플PC 1A(RT-SPP00001),"329,000원",IGNIQ
IGNIQ 비와이 30Y,"1,099,000원",IGNIQ
삼성전자 일체형 올인원PC 컴퓨터 삼성데스크탑 본체 가정용 사무용 업무용,"859,000원",삼성
IGNIQ 리트 심플PC 1B(RT-SPP00002),"379,000원",IGNIQ
삼성전자 삼성 DM530ADA-L38A,"889,000원",삼성
LG전자 24V50N-GR56K,"933,600원",LG전자
HP 파빌리온 TP01-2023KL,"579,000원",HP 파빌리온
