품명,가격,제조회사,embedding
삼성전자 삼성 DM500TDA-A38A,"741,040원",삼성,"[0.45458922, 0.26240858, -0.0683216, -0.030648809, -0.18235682, -0.41429788, 0.43279812, -0.17838669, -0.30838922, 0.27725884, -0.16969897, 0.26852676, -0.42442402, 0.35634264, -0.08083019, 0.3052312, -0.16894093, 0.5084433, -0.10512774, -1.3643633, -0.12823142, 0.05159018, 0.48235962, 0.10523354, 0.19523884, 0.31697255, -0.16420041, -0.28895038, 0.20647916, -0.021131238, 0.1437289, -0.32456037, 0.14115037, -0.6949614, 0.15225619, -0.44621986, -0.40307474, -0.028798405, -0.5641907, -0.8049961, 0.20744374, -0.0033959907, 0.28328878, 0.33577797, 0.80241925, -0.23446877, 0.27342966, 0.22035934, 0.38018972, -0.2309929, -0.21075338, 0.10164176, -0.027516617, -0.39873606, -0.78129107, -0.038756564, -0.25902757, 0.05393247, 0.017019179, 0.329551, -0.34050483, -0.10042547, 0.30295384, -0.09532347, -0.2708974, 0.2242358, 0.38910154, -0.40871876, -0.4501357, -0.32109028, -0.015850319, 0.059360124, 0.017956357, -0.26644933, 0.20239401, 0.21341357, -0.5041192, -0.5755629, -0.27484795, 0.2054058, -0.040913526, -0.8783635, -0.47009075, -0.5767241, 0.08445963, -0.85348594, -0.37125894, 0.30837277, -0.8711573, 0.05995465, -0.5761382, 0.33745465, 0.4812624, -0.43314072, 0.18048732, 0.31588444, 0.8045524, 0.24473837, 0.507375, -0.14280094, 0.106885105, 0.17419562, -0.75592935, 0.39692894, 0.7513101, -0.03582473, -0.37248862, -0.074809, 0.8281304, -0.5651126, -0.32132927, -0.7093983, 0.78796303, -0.48787066, -0.05215557, -0.13331427, 0.25029355, -0.25622588, -0.22175135, -0.20011538, -0.013791379, -0.599918, -0.19219661, -0.30895516, -0.1121736, -0.1768687, 0.24847306, 0.52710307, -0.33980042, -0.0047523654, -0.24261001, -0.1227268, -0.18775848, -0.25887802, -0.4300644, -0.5986421, 0.87648875, -0.5210419, 0.5816163, 0.27750584, 0.044627573, 0.28477353, -0.50590694, 0.014001067, 0.41806716, -0.66657287, 0.57105553, 0.4612556, 0.10199732, -0.70027435, 0.14901529, 0.085244976, 0.18004452, -0.08833117, -0.45337072, -0.08592869, -0.7065359, 0.25692242, -0.3903847, 0.23565865, 1.0249782, 0.018857764, -0.7310841, -0.3424005, -0.31924772, 0.34699357, 0.59535116, 0.05871679, 0.16740993, 0.2416741, -0.28627986, 0.29765406, -0.14602408, -0.14364666, 0.008803487, 0.99044126, -0.2897092, -0.14659344, -0.47417432, -0.24865958, -0.11108406, 0.4210727, 0.19977395, 0.18012556, -0.30022904, -0.11444128, 0.12173964, 0.03352273, -0.4366028, -0.4636107, 0.67335606, -0.35610348, -0.2561398, -0.7385568, -0.20702846, 0.54614663, -0.13264342, -0.20220405, -0.5233472, 0.0891375, -0.26099327, -0.31717014, 0.31232154, -0.029152252, 0.9962443, -0.29305038, 0.13636409, -0.702453, 0.42318922, 0.013114904, 0.38537633, 0.46306494, 0.88540447, -0.43811497, 0.17288457, 0.0045994637, -0.29216766, 0.25010002, 0.29544568, 0.3948662, 0.5532475, -0.6999096, 0.4281584, -1.2578418, -0.42381433, 0.3381577, -0.16349486, 0.28262275, 0.1852215, -0.11542687, -0.61498606, -0.073767856, -0.12990552, 0.58024305, 0.6905493, 0.4012442, 0.37333676, 0.5546156, 0.28643793, -0.7987904, 0.18142083, 0.7896771, -0.1418831, -0.17589727, 0.4166985, 0.313024, 0.5855567, -1.2174689, 0.15629257, -0.06243562, 0.19666433, 0.19437593, -0.3579092, 0.017166827, -0.19580016, -0.72498035, 0.69742817, 0.47734076, -0.32108176, -0.23484863, 0.3128701, -0.8301645, -0.117742576, -0.36439434, 0.28540784, -0.4257511, 0.087496355, -0.5375515, 0.2622852, -0.0077313227, -0.96791804, 0.1385159, 0.2167444, 0.2006034, 0.11017568, 0.35157472, -0.22637923, 0.21648635, 0.13537465, -0.41881594, -0.27311027, -0.23826092, -0.1867461, 0.6733623, 0.039198518, 0.21933255, 0.011069511, 0.3034541, -0.50788677, 0.123225525, -0.31982648, 0.34961998, -0.22980969, -1.447843, -0.074089974, 0.6116076, 0.8289541, -0.2399637, -0.44630444, -0.2740221, 0.60093296, 0.3727425, -0.26976582, 0.2521899, -0.57630926, 0.0708448, 0.9386489, 0.6054499, -0.32975143, 0.367871, 0.36552805, 0.47955826, 0.28256688, -0.28075293, 0.544061, -1.073427, -0.021928022, -0.20909196, 0.035905804, 0.0637864, 0.690477, 0.16364649, -0.6598717, -0.68527836, -0.7400248, -0.4832985, 0.11906881, -0.25500584, -0.2302885, 0.5087092, -0.07117216, -0.88895744, 0.7078504, 0.008045264, 0.059872095, -0.37272692, 0.56154037, -0.19053528, -0.14776652, -0.10351898, 0.07890448, 0.6756261, -0.4474277, 0.5013133, 0.15309955, 0.9967044, -0.052350245, -0.30884424, 0.28482714, -0.5028444, -0.103436634, -0.09309097, -0.15117012, -0.67807037, 0.693184, -0.10204979, -0.0020533274, 0.3941816, -0.16766024, 0.20110004, 0.19028433, -0.5327278, 0.19418842, 0.52508277, -0.7157491, 0.9068324, -0.19027784, 0.35944986, -0.06818035, 0.31619856, -0.1549215, -0.63826793, -0.17572798, -0.29064018, 0.3838371, 0.058683593, -0.08134857, -0.05118515, -0.6175957, 0.18015388, 0.058377, 0.8910975, -0.14249131, 0.07218134, 0.09363951, -0.6692491, -0.45691696, 0.14390694, -0.21856819, 0.3006335, -0.22121494, -0.27453834, 0.16997632, -0.1759199, -0.27053437, 0.24710467, -0.59560823, 0.6105, -0.17919049, -0.5294303, 0.25822815, -0.06486493, -0.2419464, 1.0328494, -0.44472232, -0.6544491, -0.2727396, -0.017701115, -0.14204456, 0.8178914, 0.07858964, -0.08423042, -0.029743182, 0.21452768, 0.29875392, -0.30917484, -0.0012291349, 0.7365233, 0.040138014, 0.30633342, 0.119506955, -0.7533027, 0.5760286, -1.2027683, 0.5509736, -0.105374135, 0.6094152, -0.5876593, 0.08197281, -0.0072982037, -0.26730633, -0.060093965, 0.40198734, 0.7765574, -0.8471171, -0.4657346, -0.18330567, -0.272596, -0.50973004, 0.41639262, -0.13478778, -0.29198503, 0.13981242, -0.39549077, -0.48038256, -0.18904866, -0.8679219, 0.16761845, -0.42421004, 0.1318982, -0.17195652, -0.6583962, 1.073818, -0.41958597, -0.0067391703, 0.7449834, -0.05521355, -0.3766702, -0.41368917, 0.16836452, 0.21598479, -0.17929098, -0.86934704, -0.20957965, 0.61920494, -0.93964565, -0.9997549, 0.036378004, -0.45327908, 0.25094187, -0.2681672, -0.45279086, 0.9612602, -0.055967566, 0.21310061, -0.08117899, -0.6333314, -0.6256348, 0.014547215, -0.70980346, 0.13651733, 0.13683547, -0.03185358, -0.49409497, 0.23101728, 0.5419718, 0.21428254, -0.2073621, 0.02986588, -0.29183108, 0.053152494, -0.03147724, 0.10020806, -0.045019455, -0.15296471, 0.014774726, 0.49164897, 0.13751444, 0.20805016, -0.22512378, 0.013472108, -0.3168122, 0.55594647, -0.32643685, -0.07548882, 0.3731046, 0.53310215, -0.21196833, 0.2457203, -0.19568971, -0.7911148, -0.3741887, 0.42216247, 0.7423201, -0.3375626, 0.18055807, -0.20886596, -0.37215143, -0.17101185, 0.1414472, 0.0327158, 0.13551122, 0.23087454, 0.60944194, 0.39941776, -0.33037582, -0.3686366, -0.79025394, 0.11794734, -0.560669, 0.020215552, 0.2767154, 0.21855982, 0.35250717, -0.20488176, -0.20914844, 0.23446615, 0.22554629, 0.3965193, -0.38313675, -0.28801334, 0.08570444, -0.23026498, -0.2460137, -0.11941697, 0.49810937, 0.14221916, 0.7172655, 0.02185027, 0.013587856, -0.61647516, -0.5240016, -0.34880212, 0.12332476, -0.43484715, -0.28379872, -0.3077564, -0.5594084, 0.25117064, 0.09873449, -0.54437876, -0.22030438, -0.2693585, -0.3528864, -0.16127178, 0.5544689, -0.34938055, -0.0506843, 0.31316802, 0.24214068, -0.22802809, -0.223584, 0.58594364, -0.05401458, -0.51370054, -0.8730658, -0.38527536, 0.24117857, 0.4488624, -0.6794214, -0.253354, 0.38104835, 0.41128966, 0.2133845, 0.7978086, -0.328118, 0.2731706, 0.1256832, -0.21143316, -0.02049404, 0.9693349, -0.07391965, 0.71925604, 0.124192476, -0.940477, -0.2841453, 0.0049167457, -0.022818374, -0.13860618, 0.08295272, -0.06494211, -0.73203087, 0.38333213, 0.26072448, -0.4906815, 0.13106877, 0.43854904, 0.42533848, -0.07479729, 0.3547304, -0.082730934, 0.21576431, -0.05604946, -0.7699538, -0.22577588, -0.07362629, -0.31993225, 0.14944516, 0.19137318, 0.46761015, 0.59973645, -0.12687835, 0.27630377, -0.28891778, 0.263035, -0.5106138, -0.21562113, -0.34522688, -0.22228886, -0.08435165, -0.47955945, -0.20470347, -0.06231515, 0.29978326, -0.08189224, -0.31473815, -0.26845667, 0.7818854, 0.09073663, -0.43477276, 0.017602595, -0.90186584, 0.798584, -0.29290187, 0.45856765, -0.90037113, -0.24967264, -0.11787295, -0.81501186, -0.30636984, -0.10056906, -0.08779362, -0.14503118, -0.08433039, 0.37638515, 0.2293817, -0.08260058, 0.27428934, -0.25071684, -0.588251, 0.35677606, 0.10685272, -0.32276484, -0.16382085, -0.39217976, -0.3155517, -0.3990131, 0.10386443, 0.276843, -0.0972952, 0.30713183, -1.3246688, 0.36161548, 0.06385406, -0.8090271, 0.6899804, 0.7544619, -0.32995003, -0.24130194, -0.048920188, 0.29921818, 0.4600681, 0.29798806, 0.13143617, 0.7574549, 1.3893651, 0.43175527, 0.12534516, 0.1123396, 0.20139553, 0.044157203, -0.96494305, -0.48380804, 0.100235455, 0.9712697, -0.008754297, 0.1787506, 0.72065204, -0.16428491, -0.8937212, -0.5459088, -0.38069457, -0.028132636, 0.10185368, -0.89139915, -0.65192705, -0.27872103, -0.24088296, 0.33702323, -0.19237281, -0.32084468, 0.12646031, -0.122228704, 0.06186023, -0.9639684, -0.4281402, -0.25266334, 0.10474842, 0.15079436, 0.6060513, -0.37757573, 0.11337851, -0.3372623, -0.5699994, -0.65779555, -0.2847626, 0.28570706, -0.35774562, -0.34498212, -0.5673223, -0.40467772, 0.1254132, 0.21675214, -0.15882237, -0.048366666, 0.24167734, -0.020355064, 0.5958735, -0.8629186, -0.25075233, 0.020312112, -0.24429351, -0.10901664, -0.009547701, 0.7413454, 0.48259374, -0.253427, 0.77542657, 0.41534612, 0.27994534, 0.46204036, -0.75333744, 0.6011512, 0.21931124, 0.13654326, 0.07119585, 0.013500122, 0.07562353, -0.54104114, 0.06420365, 0.31625575, 0.32614854, 0.1456066, 0.25778902, -0.50312257, 0.3693275, -0.08441643, -0.11627372]"
삼성전자 삼성 DM500SDZ-AD5A,"729,000원",삼성,"[0.4549086, 0.34968653, 0.22412099, -0.35577413, -0.24154718, -0.089490816, 0.58808863, -0.5627876, -0.44361654, 0.20482613, -0.6323496, 0.33957148, -0.2609782, 0.17699517, 0.27419314, 0.53488976, -0.1164368, 0.63700974, -0.17315643, -1.3330966, -0.28556207, -0.36252478, 0.1845313, 0.4097808, 0.4351035, 0.23799622, -0.15050438, -0.69712204, 0.029420933, -0.34609407, -0.048538644, -0.52727115, 0.3195248, -0.7842769, 0.20835976, -0.15564346, -0.6338882, -0.08475793, -0.036072586, -0.82749945, 0.2451544, 0.13478395, 0.048199188, 0.3302869, 0.7662958, 0.26703122, 0.5560526, 0.115652576, 0.105909504, -0.042091757, -0.29597566, -0.15882786, 0.043594517, -0.33963075, -0.62367207, 0.029258188, 0.1639766, 0.008984519, 0.17510678, 0.46267563, -0.57969415, 0.008237268, 0.11195452, -0.0285982, -0.23447618, -0.30196434, 0.5031108, -0.4391165, -0.7881774, -0.35502347, -0.08523332, -0.28056216, -0.07808828, 0.052022684, 0.3668647, 0.34017155, -0.3170299, -0.40606406, 0.32855085, 0.33183405, -0.0060535884, -0.700771, -1.0841008, -0.18262853, 0.025149686, -1.0276619, -0.4749399, 0.21345918, -0.5067992, 0.09524, -0.19893265, 0.17832065, 0.36835644, -0.47497773, 0.1856104, 0.5164192, 0.52964777, 0.13979003, 0.17561208, -0.23467721, -0.33323213, -0.48409176, -0.39297667, 0.23918279, 0.47018406, -0.08098049, -0.03006896, -0.13596797, 0.66149557, -0.32047155, -0.08868222, -0.8571147, 0.8343261, -0.28802142, -0.279512, 0.4897151, 0.45139962, -0.2765805, 0.1998407, -0.097495675, 0.111701645, -0.31120473, -0.07660929, -0.27421322, 0.05478526, -0.39638704, 0.14049754, 0.10978597, 0.11789846, -0.33155307, -0.13471816, -0.3677611, 0.19172998, -0.28793114, -0.29161057, -0.5893698, 0.80221033, -0.58371735, 0.62328154, -0.06387285, -0.16001372, 0.16697803, -0.25872415, -0.106676854, 0.6006978, -0.6312911, 0.42233297, 0.84642375, 0.19614887, -0.7625782, 0.07776549, 0.14142443, -0.15047123, -0.7697197, -0.78313047, -0.22159444, -0.32208714, 0.6234523, -0.44726562, 0.42907333, 1.2119867, 0.18587299, -0.9953594, -0.61095035, -0.23037603, 0.13479474, 0.47486544, 0.06828844, -0.025374949, 0.483502, -0.2762279, 0.07188316, -0.123373486, -0.26616335, 0.6566401, 1.0285103, -0.64561933, 0.13410382, -0.46078753, -0.4082294, -0.32021627, 0.52601296, 0.4033561, 0.6768704, 0.017886339, -0.1257799, 0.1383572, 0.033836447, -0.42555445, -0.22208056, 0.6027932, 0.2500299, -0.09259916, -0.8125683, -0.12674005, 0.1981742, 0.08785599, -0.07442766, -0.6906787, -0.09452318, -0.0054517174, -0.0064696455, -0.28869152, -0.35737637, 0.99132615, -0.17283747, -0.11439179, -0.8578114, 0.048149817, 0.101833306, 0.08170029, 0.17641011, 0.54031974, -0.275606, 0.21834569, 0.19282296, -0.6387915, -0.10295819, 0.4156197, -0.2526123, 1.0136542, -0.5880292, -0.14257768, -0.85626405, -0.40602747, 0.13868695, -0.09666649, 0.05101115, -0.17505182, 0.19912687, -0.31142017, 0.33450225, -0.30077052, 0.28394216, 0.8416816, 0.3286941, 0.27084425, 0.046620067, 0.2046433, -0.6778541, 0.22350161, 0.6115102, -0.5046113, -0.0612697, 0.20857105, -0.00876206, 0.58546716, -0.9509314, -0.40972275, 0.17295144, 0.23282649, 0.043994036, -0.2587202, 0.059410878, -0.10419513, -0.30230898, 0.8640552, -0.010689346, -0.17885272, -0.38883778, -0.053129263, -1.030638, 0.17394055, -0.36775428, 0.061413556, -0.39430743, -0.091247424, -0.83496445, 0.42240262, -0.07252463, -0.8642541, -0.1949512, -0.057124197, 0.3333378, -0.1355429, 0.060828976, 0.3325367, 0.022764755, 0.3313898, -0.23344003, -0.36629227, -0.5423052, -0.37188625, 0.882057, 0.14432588, -0.292926, 0.37534526, 0.28714776, -0.6862426, 0.06465482, -0.33279604, 0.062715136, 0.06548737, -1.3467648, -0.30946407, 0.4638761, 0.9397773, -0.12890066, -0.7726732, -0.38845754, 1.0768577, 0.33696827, -0.311394, 0.21553506, -0.2720929, -0.14186932, 0.5273903, 0.32136503, -0.2714284, 0.07466103, 0.4216632, 0.21339688, 0.68534666, -0.24377736, 0.10752965, -0.9900788, -0.12224473, 0.11136563, -0.18449919, -0.41227052, 0.5781517, -0.24438035, -0.7038583, -0.29544243, -1.4686263, -0.535408, -0.16525948, -0.510341, -0.048801847, 0.6496849, -0.1696467, -0.84842384, 0.93891096, 0.22481254, 0.2882541, -0.15975721, 0.3605147, -0.4756628, -0.06635806, 0.31757233, 0.5277742, 0.39229393, -0.512863, 0.056376595, 0.31108332, 1.0936563, -0.063732825, -0.31481716, -0.0049859434, -0.407064, 0.04281488, -0.36286908, -0.30526224, -0.64275914, 0.5446402, -0.52293336, 0.0010383757, 0.3777459, 0.10009255, 0.06624721, -0.2114217, -0.2641516, 0.41859555, 0.6669016, -0.50244564, 0.38780624, -0.11681344, 0.2678654, 0.173891, 0.034264825, 0.16334212, -0.17995001, -0.3792265, -0.30541787, 0.52332425, 0.010009319, 0.17666544, 0.0458573, 0.07527309, -0.14728801, 0.11124157, 0.9641618, -0.21851082, 0.09333861, 0.1607492, -0.12859209, -0.6587671, 0.24710877, -0.08574955, 0.40036553, 0.1268796, 0.116576016, 0.2281177, -0.012216328, 0.0464097, 0.13879023, -0.6782958, 0.4097212, -0.1745417, -0.25540087, 0.0807605, -0.13691117, -0.41414878, 0.61901516, -0.24822806, -0.83660764, -0.13492692, 0.36946625, -0.3626923, 0.37671182, 0.1883439, -0.16600545, -0.056626767, 0.65114963, 0.08904473, -0.11410986, -0.030747835, 0.30676565, -0.17428528, 0.4749637, 0.13048473, -0.6080679, 0.52618426, -0.90745944, 0.30916518, 0.008911526, 0.42669168, -0.6758071, 0.20044592, -0.010031645, -0.11756246, -0.19717528, 0.37708935, 0.42229226, -0.43661356, -0.40075156, -0.00894846, -0.120308, -0.5086445, 0.05085975, 0.023587104, -0.14502116, 0.3347559, -0.0787129, -0.2810655, -0.099070355, -0.95219517, 0.10440564, -0.36390924, 0.13782048, -0.44366434, -0.7689158, 0.82059723, -0.115085684, -0.066317186, 0.60617477, 0.42135122, -0.35837126, -0.15202604, 0.35988966, 0.18206167, -0.40013796, -0.8829929, -0.19657056, 0.6905816, -0.9420255, -0.83653605, -0.2352127, -0.41279915, 0.0097148465, -0.47858384, -0.31532636, 0.4959707, -0.1100632, -0.28085992, 0.06314032, -0.7872841, -0.32563978, -0.27913594, -0.46004206, 0.11303665, 0.5262322, 0.048846386, -0.4776321, 0.2111063, 0.34340268, -0.22555558, -0.36968893, 0.119509734, -0.32341877, 0.12127658, -0.09671135, 0.3669245, 0.11225336, 0.058476217, 0.26394245, 0.5735308, 0.114293024, 0.16053495, -0.31499788, 0.10877771, -0.17860045, -0.1311694, -0.49803147, -0.28806168, 0.18157947, 0.51454335, -0.13491097, 0.05595575, 0.33599874, -0.30096436, -0.21452205, 0.58030456, 0.42239252, -0.6195274, 0.15658022, -0.14328909, -0.46104118, 0.34659195, 0.21720932, -0.05125286, 0.08666016, -0.002818529, 0.50494, 0.033829425, -0.63290185, -0.43515673, -0.4879618, 0.17398342, -0.33775067, -0.47056517, 0.43237093, 0.31498677, 0.48402604, -0.012571988, -0.10130729, 0.40693182, 0.09089874, 0.6135855, -0.44813833, -0.12962288, -0.17892417, -0.26903814, -0.13177128, -0.42992654, 0.2984152, -0.05759346, 0.5573084, -0.21578476, 0.3029812, -0.7513952, -0.50118625, -0.5502849, 0.33267847, -0.5158611, -0.20728123, -0.08146723, -0.420363, -0.076600716, 0.12362646, -0.057962567, -0.004206451, 0.10366743, -0.008078654, -0.10633002, 0.12164331, -0.024509426, -0.17232633, 0.36598015, 0.2566204, -0.34642228, -0.4416368, 0.21471651, -0.16555466, -0.0067228205, -0.4483022, -0.3571168, 0.32527995, 0.49648032, -0.46126363, -0.42818576, 0.41221422, 0.23505439, 0.36061165, 0.8000551, -0.014620798, -0.09059192, 0.09321805, -0.29796958, 0.00064831757, 0.6568789, 0.59673613, 0.5706833, 0.20437822, -0.8964506, -0.3546646, 5.656055e-05, 0.15357079, 0.009917347, 0.19831438, -0.17250054, -0.49169615, 0.76222134, 0.27155665, -0.45317528, -0.06312535, 0.3487536, 0.49796227, 0.143116, 0.40959522, -0.11067576, 0.42662016, -0.104024544, -0.8228274, -0.6403002, -0.005728461, -0.4961304, -0.29212984, 0.23219658, 0.12951739, 0.2936915, 0.31005988, 0.035642054, -0.69328207, -0.022738302, -0.007685089, -0.018040849, -0.07426734, -0.29912665, 0.14560056, -0.23512106, -0.2980481, 0.17119575, 0.22215256, -0.29713884, -0.2797998, -0.11092114, 0.3776071, 0.16382478, -0.3228721, -0.13791944, -0.9176404, 0.979537, -0.33814484, 0.5885326, -0.93692213, -0.260525, 0.23434745, -0.65074986, -0.13710484, -0.15053631, 0.0047962605, 0.026662987, -0.2946177, 0.6944528, 0.1704208, 0.104639195, 0.5542621, 0.064181514, -0.5899612, 0.24471138, 0.5021271, -0.18008125, -0.07706144, -0.020364275, -0.4279596, -0.31009445, 0.5027488, -0.11725531, 0.14567582, 0.11592688, -1.5097377, 0.43707713, -0.16183022, -0.8678955, 0.4633883, 1.1744825, -0.016107745, -0.73752636, -0.12465888, 0.50329494, 0.42270896, 0.23138343, -0.01846649, 0.8358649, 1.2863071, 0.29277602, 0.11548506, 0.56652087, -0.003780581, 0.07751608, -0.8497453, -0.35430306, 0.28065488, 1.0243925, -0.047422588, 0.27175695, 0.8517484, -0.48135716, -0.4839869, -0.28148022, -0.27063948, 0.21405615, 0.32069182, -0.5456958, -0.36595374, -0.23274443, -0.10505598, 0.44428182, 0.014109948, -0.331636, -0.19533409, -0.43470618, -0.23269452, -0.6110739, -0.07585176, -0.35953394, -0.07104408, -0.068386875, 0.25620744, -0.24743502, 0.17013098, -0.6653371, -0.5044052, -0.47151777, -0.2910603, 0.3911547, -0.24938655, -0.28525957, -0.5250125, -0.33313197, 0.087378584, 0.107882604, -0.3850642, 0.1803234, -0.0040637576, -0.05539382, 0.57453877, -0.6272255, -0.20468695, -0.082097895, -0.21571825, -0.1986294, -0.1278887, 0.860446, -0.24541128, 0.41209516, 0.8014449, 0.13989112, 0.20096636, 0.15739985, -0.7522484, 0.4806216, 0.26789168, 0.18036063, -0.042876925, -0.04133871, -0.018168628, -0.7237568, 0.48873574, 0.30458245, 0.1825449, -0.3435163, -0.008354492, -0.3490347, 0.25204894, 0.48287416, -0.09942539]"
