품명,가격,제조회사
삼성전자삼성DM500TDA-A38A,"741,040원",삼성
삼성전자삼성DM500SDZ-AD5A,"729,000원",삼성
한성컴퓨터TFGMX9465S,"878,000원",한성
삼성전자삼성DM530ADA-L15A,"592,630원",삼성
삼성전자삼성DM530ADA-L78A,"1,333,660원",삼성
삼성전자삼성DM530ADA-L58A,"1,136,780원",삼성
삼성전자삼성DM500SDA-A25A,"493,700원",삼성
한성컴퓨터프리워커F2500W,"588,000원",한성
삼성올인원PC컴퓨터일체형PC사무용정품Win11탑재선없는컴퓨터온라인강의용,"598,000원",삼성
