제조회사,품명,가격
삼성,삼성전자삼성DM500TDA-A38A,741040
삼성,삼성전자삼성 DM500SDZ-AD5A,729000
한성,한성컴퓨터TFG MX9465S,878000
삼성,삼성전자삼성 DM530ADA-L15A,592630
삼성,삼성전자삼성 DM530ADA-L78A,1333660
삼성,삼성전자 삼성 DM530ADA-L58A,1136780
삼성,삼성전자 삼성 DM500SDA-A25A,493700
한성,한성컴퓨터 프리워커 F2500W,588000
삼성,삼성 올인원 PC 컴퓨터 일체형PC 사무용 정품Win11탑재 선없는 컴퓨터 온라인강의용,598000
삼성,삼성전자 삼성 DM500TDA-A58A,889440
IGNIQ,IGNIQ 리트 올인원 PC 27A,469000
한성,한성컴퓨터 TFG MX9465S,878000
한성,한성컴퓨터 AX12505,599000
삼성,삼성전자 올인원PC 일체형PC 24인치 데스크탑 컴퓨터 NVMe SSD 탑재,598000
삼성,삼성 데스크탑 5 인텔 11세대 i5 CPU 사무용PC 게이밍컴퓨터,799000
삼성,삼성전자 올인원PC 일체형PC i5 윈도우탑재 데스크탑 컴퓨터,1149000
한성,한성컴퓨터 MX12505,1159000
IGNIQ,IGNIQ 리트 올인원PC 27B,599000
한성,한성컴퓨터 TFG AX12506,1399000
한성,한성컴퓨터 TFG AX12708i,2859000
한성,한성컴퓨터 AX5506i,1668990
LG전자,LG전자 27V70N-FR50K,1490000
IGNIQ,IGNIQ 리트 심플PC 1A(RT-SPP00001),329000
IGNIQ,IGNIQ 비와이 30Y,1099000
삼성,삼성전자 일체형 올인원PC 컴퓨터 삼성데스크탑 본체 가정용 사무용 업무용,859000
IGNIQ,IGNIQ 리트 심플PC 1B(RT-SPP00002),379000
삼성,삼성전자 삼성 DM530ADA-L38A,889000
LG전자,LG전자 24V50N-GR56K,933600
HP 파빌리온,HP 파빌리온 TP01-2023KL,579000
